seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
9,50,12,1,student_t,admm,0.0,True,0.9444444444444444,0.5,0.6178571428571429,0.6549295774647887,0.00464802533978137,0.34999441700347234
9,50,12,1,student_t,admm,0.05,True,0.9444444444444444,0.5,0.36428571428571427,0.4225352112676056,0.0043042063319393975,0.35670658399612876
10,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.9166666666666666,0.5,0.3821428571428571,0.35563380281690143,0.006835270228879864,0.2812861249985872
10,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.9166666666666666,0.5,0.4,0.36619718309859156,0.006843718424198286,0.2486300420059706
10,50,12,1,student_t,lbfgs_smooth,0.0,True,0.9166666666666666,0.5,0.6178571428571429,0.5,0.00652761963972992,0.2586657909996575
10,50,12,1,student_t,lbfgs_smooth,0.05,True,0.9166666666666666,0.5,0.6267857142857143,0.5140845070422535,0.006530227538323885,0.32879295800375985
10,50,12,1,gaussian,admm,0.0,True,0.9166666666666666,0.5,0.7142857142857143,0.6830985915492958,0.004536592111803017,0.3690935839986196
10,50,12,1,gaussian,admm,0.05,True,0.9166666666666666,0.5,0.8964285714285715,0.6267605633802817,0.004446730650840891,0.4688691670016851
10,50,12,1,student_t,admm,0.0,True,0.9166666666666666,0.5,0.9410714285714286,0.7605633802816901,0.003812121131961277,0.3929809170003864
10,50,12,1,student_t,admm,0.05,True,0.9166666666666666,0.5,0.9714285714285714,0.6267605633802817,0.0038915330705044937,0.39903054199385224
11,50,12,1,gaussian,lbfgs_smooth,0.0,True,0.7647058823529411,0.5,0.4,0.2007042253521127,0.006654304607891959,0.28864070900453953
11,50,12,1,gaussian,lbfgs_smooth,0.05,True,0.7647058823529411,0.5,0.3732142857142857,0.15845070422535212,0.006570544311164994,0.28261716599809006
11,50,12,1,student_t,lbfgs_smooth,0.0,True,0.7647058823529411,0.5,0.6928571428571428,0.25704225352112675,0.006348956244329074,0.26574083399464143
11,50,12,1,student_t,lbfgs_smooth,0.05,True,0.7647058823529411,0.5,0.6982142857142857,0.2640845070422535,0.00625580202617293,0.2813966250032536
11,50,12,1,gaussian,admm,0.0,True,0.7647058823529411,0.5,0.7892857142857143,0.5,0.004890655955048118,0.5235874580030213
11,50,12,1,gaussian,admm,0.05,True,0.7647058823529411,0.5,0.9107142857142857,0.4084507042253521,0.004485021899283126,0.41217604199482594
11,50,12,1,student_t,admm,0.0,True,0.7647058823529411,0.5,0.9,0.573943661971831,0.004166200694776023,0.35393404100614134
11,50,12,1,student_t,admm,0.05,True,0.7647058823529411,0.5,0.9607142857142857,0.43661971830985913,0.0040418806341175895,0.5185379169997759
0,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.8888888888888888,0.5,0.9017857142857143,0.45422535211267606,0.006374710699503794,0.4274511249968782
0,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.8888888888888888,0.5,0.9,0.45422535211267606,0.0063551815185523,0.4249962499961839
0,100,12,1,student_t,lbfgs_smooth,0.0,True,0.8888888888888888,0.5,0.7142857142857143,0.426056338028169,0.005956661993741008,0.555050625000149
0,100,12,1,student_t,lbfgs_smooth,0.05,True,0.8888888888888888,0.5,0.7285714285714285,0.4295774647887324,0.005934553051627489,0.4087887089990545
0,100,12,1,gaussian,admm,0.0,True,0.8888888888888888,0.5,0.9839285714285714,0.4647887323943662,0.004519463080560726,0.36571879199618706
0,100,12,1,gaussian,admm,0.05,True,0.8888888888888888,0.5,0.9892857142857143,0.4225352112676056,0.004176344195812476,0.36015245800081175
0,100,12,1,student_t,admm,0.0,True,0.8888888888888888,0.5,0.9982142857142857,0.6443661971830986,0.003996696836825464,0.3497811250053928
0,100,12,1,student_t,admm,0.05,True,0.8888888888888888,0.5,0.9946428571428572,0.45774647887323944,0.004171761018398001,0.3739922079985263
1,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.7333333333333333,0.5,0.7303571428571428,0.7077464788732394,0.008062309341172025,0.29917658399790525
1,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.7333333333333333,0.5,0.7357142857142858,0.7077464788732394,0.008071591212955198,0.3600691659958102
1,100,12,1,student_t,lbfgs_smooth,0.0,True,0.7333333333333333,0.5,0.8696428571428572,0.6338028169014085,0.006007446082200829,0.3364412920054747
1,100,12,1,student_t,lbfgs_smooth,0.05,True,0.7333333333333333,0.5,0.8714285714285714,0.6514084507042254,0.0059950952133096536,0.32194295899535064
1,100,12,1,gaussian,admm,0.0,True,0.7333333333333333,0.5,0.8857142857142857,0.7183098591549296,0.005320629485744632,0.3826681659993483
